1/1/1 22 December 1967, Nicholas Parsons with Derek Nimmo, Clement Freud, Wilma Ewart and Beryl Reid, excuses for being late.
224/11/5 1 December 1976, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Thora Hird, poverty.
225/11/6 8 December 1976, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Ray Alan, my plot.
226/11/7 15 December 1976, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Sheila Hancock, trolls.
227/11/8 22 December 1976, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Janet Brown, me.
228/11/9 29 December 1976, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Alfred Marks, the Moon.
229/11/10 5 January 1977, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, bath night.
230/11/11 12 January 1977, Ian Messiter with Kenneth Williams, Derek Nimmo, Peter Jones and Nicholas Parsons, bangs.
231/11/12 19 January 1977, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Magnus Pyke, burlesque.
232/11/13 26 January 1977, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, fun and games.
233/11/14 2 February 1977, Nicholas Parsons with Kenneth Williams, Peter Jones, Sheila Hancock and Alfred Marks, how to frighten this audience.
234/11/15 9 February 1977, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Graeme Garden, making my mark.
235/11/16 16 February 1977, Nicholas Parsons with Kenneth Williams, Peter Jones, Janet Brown and Magnus Pyke, show stoppers.
236/11/17 23 February 1977, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Patrick Moore, my impulses.
237/11/18 2 March 1977, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Thora Hird, knees.
238/11/19 9 March 1977, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Ray Alan, pride.
239/11/20 16 March 1977, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Sheila Hancock, peanuts.
240/11/21 23 March 1977, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Janet Brown, my ploy.
241/11/22 30 March 1977, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Alfred Marks, how I get going.
242/11/23 6 April 1977, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, the broads.
243/11/24 13 April 1977, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, the friendliest one I know.
244/11/25 20 April 1977, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Magnus Pyke, relaxation.
245/11/26 27 April 1977, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, plus Ian Messiter, my dignity.
246/12/1 21 February 1978, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Sheila Hancock and Bernard Cribbins, fools.
247/12/2 28 February 1978, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Patrick Moore, being scared.
248/12/3 7 March 1978, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Tommy Trinder, being scared.
249/12/4 14 March 1978, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Janet Brown, eccentrics.
250/12/5 21 March 1978, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and June Whitfield, what makes me burst with pride.
251/12/6 28 March 1978, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, making a good start.
252/12/7 4 April 1978, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, salesmen.
253/12/8 11 April 1978, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Sheila Hancock and Bernard Cribbins, customs.
254/12/9 18 April 1978, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Patrick Moore, how to become celebrated.
255/12/10 25 April 1978, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Tommy Trinder, why parrots don't sneeze.
256/12/11 2 May 1978, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Janet Brown, moose.
257/12/12 9 May 1978, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and June Whitfield, attack.
258/12/13 16 May 1978, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, making up.
259/12/14 23 May 1978, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, getting wound up.
260/13/1 23 January 1979, Nicholas Parsons with Kenneth Williams, Peter Jones, Aimi Macdonald and Patrick Moore, a grand opening.
261/13/2 30 January 1979, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, getting started.
262/13/3 6 February 1979, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Joan Bakewell, my ideal.
263/13/4 13 February 1979, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, excitement.
264/13/5 20 February 1979, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Ray Alan, simplicity.
265/13/6 27 February 1979, Nicholas Parsons with Kenneth Williams, Clement Freud, Tim Brooke-Taylor and Kenneth Robinson, why I should be knighted.
266/13/7 6 March 1979, Nicholas Parsons with Kenneth Williams, Clement Freud, Barry Took and Peter Cook, my other self.
267/13/8 13 March 1979, Nicholas Parsons with Kenneth Williams, Peter Jones, Aimi Macdonald and Patrick Moore, foolishness.
268/13/9 20 March 1979, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, customs.
269/13/10 27 March 1979, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Joan Bakewell, improvisation.
270/13/11 8 May 1979, Nicholas Parsons with Kenneth Williams, Clement Freud, Kenneth Robinson and Miriam Margolyes, hotch potch.
271/13/12 15 May 1979, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Ray Alan, if I were not a thespian.
272/13/13 22 May 1979, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, parbuckles.
273/13/14 29 May 1979, Nicholas Parsons with Kenneth Williams, Clement Freud, Barry Took and Peter Cook, the Loch Ness monster.
274/14/1 11 December 1979, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Peter Cook, how to get cracking.
275/14/2 18 December 1979, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Lorraine Chase, taking a diabolical liberty.
276/14/3 25 December 1979, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Lance Percival, exhibitionism.
277/14/4 1 January 1980, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Patrick Moore, overdoing it.
278/14/5 8 January 1980, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, looking ahead.
279/14/6 15 January 1980, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Tim Rice, rolls.
280/14/7 22 January 1980, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Rob Buckman, springing into action.
281/14/8 29 January 1980, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, Aimi Macdonald.
282/14/9 5 February 1980, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Kenny Everett, the Mexican hat dance.
283/14/10 12 February 1980, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Sheila Hancock, bugling.
284/14/11 19 February 1980, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Barry Cryer, my resolution for this programme.
285/14/12 26 February 1980, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and John Junkin, getting a good start.
286/14/13 4 March 1980, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Bob Monkhouse, getting sent.
287/14/14 11 March 1980, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, my accolade.
288/15/1 7 March 1981, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Tim Rice, being forceful.
289/15/2 14 March 1981, Nicholas Parsons with Kenneth Williams, Clement Freud, Barry Cryer and Lance Percival, my following.
290/15/3 21 March 1981, Nicholas Parsons with Kenneth Williams, Peter Jones, Barry Took and Tim Brooke-Taylor, enough money.
291/15/4 28 March 1981, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, having women in the show.
292/15/5 4 April 1981, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and John Junkin, parking meters.
293/15/6 11 April 1981, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Sheila Hancock, fruit.
294/15/7 18 April 1981, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, the best game.
295/15/8 25 April 1981, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Tim Rice, bliss.
296/15/9 2 May 1981, Nicholas Parsons with Clement Freud, Kenneth Williams, Barry Cryer and Graeme Garden, getting ice cubes out of the tray.
297/15/10 9 May 1981, Nicholas Parsons with Kenneth Williams, Peter Jones, Barry Took and Tim Brooke-Taylor, striving for perfection.
298/15/11 16 May 1981, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, Irish humour.
299/15/12 23 May 1981, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and John Junkin, getting a shock.
300/15/13 30 May 1981, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Sheila Hancock, disreputable people.
301/15/14 6 June 1981, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, poor.
302/16/1 23 January 1982, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, the best way to lie.
303/16/2 30 January 1982, Nicholas Parsons with Kenneth Williams, Peter Jones, Sheila Hancock and Michael Wood, what amazes me.
304/16/3 6 February 1982, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Ian Messiter, the first time I appeared in public.
305/16/4 13 February 1982, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Graeme Garden, the strangest thing.
306/16/5 20 February 1982, Nicholas Parsons with Kenneth Williams, Tim Rice, John Junkin and Brian Johnston, moments of drama.
307/16/6 27 February 1982, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Denise Coffey, evasiveness.
308/16/7 6 March 1982, Nicholas Parsons with Kenneth Williams, Clement Freud, Barry Cryer and Libby Purves, laurel.
309/16/8 13 March 1982, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, blowing bubbles.
310/16/9 31 July 1982, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, what our audience loves.
311/16/10 7 August 1982, Nicholas Parsons with Kenneth Williams, Peter Jones, Sheila Hancock and Gyles Brandeth, the most outstanding personality in this show.
312/16/11 14 August 1982, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Victoria Wood, the most incredible thing I know.
313/16/12 21 August 1982, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Graeme Garden, what makes me excited.
314/16/13 28 August 1982, Nicholas Parsons with Kenneth Williams, Tim Rice, John Junkin and Maureen Lipman, my intellectual approach to the six pips of the Greenwich time signal.
315/16/14 4 September 1982, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Gyles Brandreth, being nosey.
316/16/15 11 September 1982, Nicholas Parsons with Kenneth Williams, Clement Freud, Barry Cryer and Elaine Stritch, kangaroo pie.
317/16/16 18 September 1982, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, things of mine refused by garbage collectors.
318/17/1 14 March 1983, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Sheila Hancock and Gyles Brandreth, the fun of bath night.
319/17/2 21 March 1983, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Jeremy Beadle, binge.
320/17/3 28 March 1983, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Liza Goddard, getting stung.
321/17/4 4 April 1983, Nicholas Parsons with Kenneth Williams, Clement Freud, Gyles Brandreth and Barry Cryer, good luck.
322/17/5 11 April 1983, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Miles Kington, trade tricks.
323/17/6 18 April 1983, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Sheila Hancock and Gyles Brandreth, the most loveable points of a rhinoceros.
324/17/7 25 April 1983, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Jan Ravens, getting at an itch in the middle of my back.
325/17/8 2 May 1983, Nicholas Parsons with Kenneth Williams, Clement Freud, Aimi Macdonald and Jeremy Beadle, early morning exercises.
326/17/9 9 May 1983, Clement Freud with Kenneth Williams, Derek Nimmo, Peter Jones and Nicholas Parsons, making a sausage roll.
327/17/10 16 May 1983, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Brian Johnston, telephone answering machines.
328/17/11 24 September 1983, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Victoria Wood, going off at the deep end.
329/17/12 1 October 1983, Nicholas Parsons with Kenneth Williams, Clement Freud, Aimi Macdonald and Jan Ravens, how to have fun in a public library.
330/17/13 8 October 1983, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and John Junkin, getting a good start.
331/17/14 15 October 1983, Kenneth Williams with Derek Nimmo, Clement Freud, Peter Jones and Nicholas Parsons, miller.
332/17/15 22 October 1983, Nicholas Parsons with Kenneth Williams, Peter Jones, Tim Rice and Libby Purves, magic.
333/17/16 29 October 1983, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Brian Johnston, getting dressed on the beach.
334/17/17 5 November 1983, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and John Junkin, paradise.
335/17/18 12 November 1983, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Victoria Wood, fun on the trampoline.
336/17/19 19 November 1983, Nicholas Parsons with Kenneth Williams, Peter Jones, Tim Rice and Libby Purves, plankton.
337/17/20 26 November 1983, Nicholas Parsons with Kenneth Williams, Clement Freud, Gyles Brandreth and Barry Cryer, a bad joke.
338/18/1 16 June 1984, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Tim Rice, the opening shot.
339/18/2 23 June 1984, Nicholas Parsons with Kenneth Williams, Clement Freud, Libby Purves and Henry Kelly, getting a thrill.
340/18/3 30 June 1984, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Gyles Brandreth and Martin Jarvis, a hoax.
341/18/4 7 July 1984, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and William Franklyn, my gambit.
342/18/5 14 July 1984, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and John Baddeley, the Marie Celeste.
343/18/6 21 July 1984, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Henry Kelly, encouragement.
344/18/7 28 July 1984, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Gyles Brandreth and Martin Jarvis, hide.
345/18/8 4 August 1984, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and John Baddeley, tongue twisters.
346/18/9 11 August 1984, Nicholas Parsons with Kenneth Williams, Peter Jones, Tim Rice and Barry Cryer, looking to the future.
347/18/10 18 August 1984, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, sparkle.
348/18/11 6 February 1985, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Martin Jarvis, taking command.
349/18/12 13 February 1985, Nicholas Parsons with Kenneth Williams, Clement Freud, Libby Purves and Toni Arthur, what I saw in a joke shop.
350/18/13 20 February 1985, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Tim Rice, punctuality.
351/18/14 27 February 1985, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, the Taj Mahal.
352/18/15 6 March 1985, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Martin Jarvis, a turn.
353/18/16 13 March 1985, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Henry Kelly, seals.
354/18/17 20 March 1985, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, milking a camel.
355/18/18 27 March 1985, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and William Franklyn, hail.
356/18/19 3 April 1985, Nicholas Parsons with Kenneth Williams, Peter Jones, Tim Rice and Barry Cryer, epics.
357/18/20 10 April 1985, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, the intellectual members of the audience.
358/19/1 14 December 1985, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, nightmares.
359/19/2 28 December 1985, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, the parson's nose.
360/19/3 4 January 1986, Nicholas Parsons with Kenneth Williams, Clement Freud, Gyles Brandreth and Tim Rice, doppelganger.
361/19/4 11 January 1986, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Simon Bates, slapstick.
362/19/5 18 January 1986, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Barry Cryer and Ian Hislop, trivia.
363/19/6 25 January 1986, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and William Franklyn, Arabian nights.
364/19/7 1 February 1986, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Simon Bates, luxury.
365/19/8 8 February 1986, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Barry Cryer and Ian Hislop, bubble baths.
366/19/9 15 February 1986, Nicholas Parsons with Kenneth Williams, Clement Freud, Gyles Brandreth and Tim Rice, lawyers.
367/19/10 22 February 1986, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and William Franklyn, green jellybabies.
368/19/11 1 March 1986, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, weather.
369/20/1 4 April 1987, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, customs.
370/20/2 11 April 1987, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Alfred Marks, talking to plants.
371/20/3 18 April 1987, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Tim Rice, will power.
372/20/4 25 April 1987, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Sheila Hancock and Tim Rice, fools.
373/20/5 2 May 1987, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, a grand occasion.
374/20/6 9 May 1987, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Stanley Unwin, winter pyjamas.
375/20/7 16 May 1987, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Tim Rice, habits.
376/20/8 23 May 1987, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Sheila Hancock and Tim Rice, ballooning.
377/20/9 30 May 1987, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Alfred Marks, magic.
378/20/10 13 June 1987, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Eleanor Summerfield, getting animated.
379/20/11 20 June 1987, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, jersey.
380/20/12 27 June 1987, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, glory.
381/21/1 5 May 1988, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, fashionable bed attire.
382/21/2 12 May 1988, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Wendy Richard, going bananas.
383/21/3 19 May 1988, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Richard Murdoch, nappies.
384/21/4 26 May 1988, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Lance Percival, nuts.
385/21/5 2 June 1988, Nicholas Parsons with Clement Freud, Peter Jones, Lance Percival and Christopher Timothy, records.
386/21/6 9 June 1988, Nicholas Parsons with Clement Freud, Peter Jones, Lance Percival and Christopher Timothy, applause.
387/21/7 16 June 1988, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Wendy Richard, atlas.
388/21/8 23 June 1988, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, getting uptight.
389/22/1 28 March 1989, Nicholas Parsons with Clement Freud, Peter Jones, Wendy Richard and Barry Cryer, jams.
390/22/2 4 April 1989, Nicholas Parsons with Paul Merton, Derek Nimmo, Peter Jones and Richard Murdoch, coconut shies.
391/22/3 11 April 1989, Nicholas Parsons with Clement Freud, Wendy Richard, Richard Murdoch and Lance Percival, scales.
392/22/4 18 April 1989, Nicholas Parsons with Derek Nimmo, Clement Freud, Barry Cryer and Christopher Timothy, Manhattan.
393/22/5 25 April 1989, Nicholas Parsons with Paul Merton, Derek Nimmo, Peter Jones and Tim Rice, pinching.
394/22/6 2 May 1989, Nicholas Parsons with Derek Nimmo, Peter Jones, Tim Rice and Stanley Unwin, actors.
395/22/7 9 May 1989, Nicholas Parsons with Clement Freud, Wendy Richard, Richard Murdoch and Lance Percival, slang.
396/22/8 16 May 1989, Nicholas Parsons with Clement Freud, Peter Jones, Wendy Richard and Barry Cryer, gerry building.
397/22/9 23 May 1989, Nicholas Parsons with Derek Nimmo, Clement Freud, Barry Cryer and Christopher Timothy, keeping baby amused.
398/22/10 4 April 1989, Nicholas Parsons with Paul Merton, Derek Nimmo, Peter Jones and Richard Murdoch, poker.
399/23/1 17 March 1990, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Peter Jones, beauty contests.
400/23/2 24 March 1990, Nicholas Parsons with Paul Merton, Peter Jones, Wendy Richard and Richard Murdoch, garden worms.
401/23/3 31 March 1990, Nicholas Parsons with Derek Nimmo, Clement Freud, Tim Rice and Jimmy Mulville, package deals.
402/23/4 7 April 1990, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Peter Jones, sneezes.
403/23/5 14 April 1990, Nicholas Parsons with Derek Nimmo, Clement Freud, Tim Rice and Emma Freud, odds.
404/23/6 21 April 1990, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Wendy Richard, diaries.
405/23/7 28 April 1990, Nicholas Parsons with Paul Merton, Peter Jones, Wendy Richard and Richard Murdoch, defrosting the fridge.
406/23/8 5 May 1990, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Wendy Richard, health food shops.
407/24/1 5 January 1991, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Peter Jones, selling by telephone.
408/24/2 12 January 1991, Nicholas Parsons with Peter Jones, Tim Rice, Wendy Richard and Richard Stilgoe, chop suey.
409/24/3 19 January 1991, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Peter Jones, graffiti.
410/24/4 26 January 1991, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Sandi Toksvig, China.
411/24/5 2 February 1991, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Wendy Richard, telepathy.
412/24/6 9 February 1991, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Jimmy Mulville, bags.
413/24/7 16 February 1991, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Wendy Richard, a good part to play.
414/24/8 23 February 1991, Nicholas Parsons with Peter Jones, Tim Rice, Wendy Richard and Richard Stilgoe, biscuits in bed.
415/25/1 4 January 1992, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Maureen Lipman, jam.
416/25/2 11 January 1992, Nicholas Parsons with Paul Merton, Derek Nimmo, Wendy Richard and Stephen Fry, what to put on a muffin.
417/25/3 18 January 1992, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Helen Lederer, the boot.
418/25/4 25 January 1992, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Wendy Richard, this and that.
419/25/5 1 February 1992, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and John Junkin, what.
420/25/6 8 February 1992, Nicholas Parsons with Paul Merton, Derek Nimmo, Wendy Richard and Stephen Fry, a good hand.
421/25/7 15 February 1992, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Tony Hawks, my silliest habit.
422/25/8 22 February 1992, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Wendy Richard, advertising.
423/25/9 20 July 1992 and 27 July 1992, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, plus Paul Merton, Tony Hawks, Sheila Hancock, Tim Rice, Wendy Richard, Stephen Fry, Barry Cryer, Richard Murdoch, Peter Cook, Ian Messiter, Victoria Wood, Jimmy Mulville, Elaine Stritch and Sandi Toksvig, Silver Minutes.
424/26/1 2 January 1993, Nicholas Parsons with Paul Merton, Clement Freud, Wendy Richard and Tony Slattery, briefs.
425/26/2 9 January 1993, Nicholas Parsons with Derek Nimmo, Clement Freud, Tony Hawks and Wendy Richard, bollards.
426/26/3 16 January 1993, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Peter Jones, Wales.
427/26/4 23 January 1993, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Caroline Quentin, the year ahead.
428/26/5 30 January 1993, Nicholas Parsons with Paul Merton, Derek Nimmo, Peter Jones and Richard Morton, custard pie humour.
429/26/6 6 February 1993, Nicholas Parsons with Paul Merton, Clement Freud, Wendy Richard and Tony Slattery, anyone in this show.
430/26/7 13 February 1993, Nicholas Parsons with Derek Nimmo, Clement Freud, Wendy Richard and Alistair McGowan, farmers.
431/26/8 20 February 1993, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Peter Jones, stocking.
432/26/9 27 February 1993, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Jim Sweeney, splits.
433/26/10 6 March 1993, Nicholas Parsons with Paul Merton, Derek Nimmo, Peter Jones and Craig Ferguson, reports.
434/27/1 1 January 1994, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Jenny Eclair, Scarborough.
TV1/1/1 6 January 1994, Nicholas Parsons with Tony Slattery, Tony Hawks, Kit Hesketh-Harvey and Helen Lederer, Eros.
435/27/2 8 January 1994, Nicholas Parsons with Paul Merton, Peter Jones, Stephen Fry and Pete McCarthy, pale.
TV2/1/2 13 January 1994, Nicholas Parsons with Tony Slattery, Arthur Smith, Jeremy Hardy and Mariella Frostrup, what the butler saw at 10 Downing Street.
436/27/3 15 January 1994, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Eddie Izzard, double whammy.
TV3/1/3 20 January 1994, Nicholas Parsons with Tony Slattery, Graham Norton, Arthur Smith and Ann Bryson, the House of Lords.
437/27/4 22 January 1994, Nicholas Parsons with Clement Freud, Tony Hawks, Kit Hesketh-Harvey and Hugh Dennis, Norwich.
TV4/1/4 27 January 1994, Nicholas Parsons with Tony Slattery, Clement Freud, Tony Hawks and Richard Vranch, double parking.
438/27/5 29 January 1994, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Arthur Smith, auld reekie.
TV5/1/5 3 February 1994, Nicholas Parsons with Tony Slattery, Tony Hawks, Kit Hesketh-Harvey and Helen Lederer, London pride.
439/27/6 5 February 1994, Nicholas Parsons with Paul Merton, Peter Jones, Wendy Richard and Lee Simpson, a great party.
TV6/1/6 10 February 1994, Nicholas Parsons with Tony Slattery, Jim Sweeney, Lee Simpson and Tony Blackburn, a try at Twickenham.
